time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-06-25 09:30:00-04:00,MLTrader,dce9f272190643b89c0fea49a272cd1c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,b28989b6168e4734b806f9dbf2ed054c,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,dce9f272190643b89c0fea49a272cd1c,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
2020-12-01 09:30:00-05:00,MLTrader,e73609a11bdf40b1befd6d1915417bc3,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 09:30:00-05:00,MLTrader,d484a853431747ce9af611a133077521,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,580.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,8faa76822d7e42219f04f44a6a2c032b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,8faa76822d7e42219f04f44a6a2c032b,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,228.0,0.0
2021-10-25 08:30:00-04:00,MLTrader,aee6c4ab49f041eea5a42d2855c64ac6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-25 08:30:00-04:00,MLTrader,ace3ed0f120a474ea6684c0366f20f65,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,228.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,a84eb64f15c24d31965a6439183b931f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,a84eb64f15c24d31965a6439183b931f,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,217.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,da37ec4d15884760b428808cf304f72d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,da37ec4d15884760b428808cf304f72d,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,336.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,488de807b1ac4ea6a9dda5539d66bc82,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,488de807b1ac4ea6a9dda5539d66bc82,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,497.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,074551fd6c9f43cc9ea74411ae55e716,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,074551fd6c9f43cc9ea74411ae55e716,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,724.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,4a57fd54ddf643e8ae5ed6452406ec9a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,2874f26e21ec45a981e785176b56c7eb,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,336.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,b7519027a34449209817d5577959776a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,2d28a5bf33ed457abd00890f246ad746,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,497.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,df22d3cc2eb94bb1b9dc7c6d094f4cd7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,df22d3cc2eb94bb1b9dc7c6d094f4cd7,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,683.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,02c538ecbbd74259a4e22fb577725179,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
