time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MLTrader,9a247bf1a6e443d0a13f2a8e4e777c34,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MLTrader,9a247bf1a6e443d0a13f2a8e4e777c34,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-02-27 09:30:00-05:00,MLTrader,824e167c2a9d46fb94d67cb3d3533a9b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,MLTrader,035092e99e754725a41723b0124eb546,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,155.0,0.0
